1 1005 ул. Александра Блока, д. 3, литера А
2 1005 наб. р. Пряжки, д. 3/1, литера А
3 1005 наб. р. Фонтанки, д. 203, литера ЭН
4 1006 наб. р. Фонтанки, д. 203, литера ЕГ (часть здания)
5 1007 Галерная ул., д. 73, литера А (часть здания)
6 1007 Галерная ул., д. 75, литера А (часть здания)
7 1007 Галерная ул., д. 77, литера А
8 1009 Галерная ул., д. 17, литера А (часть здания)
9 1014 Адмиралтейская наб., д. 4, литера А
10 1058 Гороховая ул., д. 49, литера А
11 1058 наб. р. Фонтанки, д. 89, литера А (часть здания)
12 1060 Садовая ул., д. 42, литера А
13 1061 пер. Бойцова, д. 4, литера А
14 1061 пер. Бойцова, д. 6, литера А
15 1061 пер. Бринько, д. 4, литера А
16 1061 Московский пр., д. 5, литера А
17 1061 Московский пр., д. 9, литера А (часть здания)
18 1061 Садовая ул., д. 50б, литера А
19 1061 Садовая ул., д. 50б, литера Д
20 1061 наб. р. Фонтанки, д. 121, литера А
21 1062 пер. Бойцова, д. 3, литера А
22 1062 Садовая ул., д. 54, литера Б
23 1062 Наб. р. Фонтанки, д. 123/5, литера А
24 1063 Б. Подьяческая ул., д. 30, литера А
25 1063 Б. Подьяческая ул., д. 32, литера А
26 1063 Вознесенский пр., д. 45, литера А
27 1063 Вознесенский пр., д. 53, литера А (часть здания)
28 1063 наб. р. Фонтанки, д. 129, литера А
29 1064 Б. Подьяческая ул., д. 39, литера А
30 1066 наб. Крюкова кан., д. 20-22, литера А
31 1066 наб. Крюкова кан., д. 26, литера А
32 1066 Кустарный пер., д. 2/5, литера А
33 1066 Кустарный пер., д. 2б, литера А
34 1066 Кустарный пер., д. 6, литера А
35 1066 Кустарный пер., д. 8, литера А
36 1066 Никольский пер., д. 3, литера А
37 1066 наб. р. Фонтанки, д. 133, литера А
38 1066 наб. р. Фонтанки, д. 135, литера А
39 1066 наб. р. Фонтанки, д. 137, литера А
40 1066 наб. р. Фонтанки, д. 137, литера В
41 1067 наб. Крюкова кан., д. 21/64, литера А (часть здания)
42 1067 наб. Крюкова кан., д. 23, литера А (часть здания)
43 1067 наб. Крюкова кан., д. 25, литера А (часть здания)
44 1067 наб. Крюкова кан., д. 31, литера А
45 1067 пер. Макаренко, д. 12, литера А
46 1067 пер. Макаренко, д. 6-8, литера А
47 1067 наб. р. Фонтанки, д. 145б, литера А (часть здания)
48 1068 Лермонтовский пр., д. 18, литера А
49 1068 Лермонтовский пр., д. 20, литера А
50 1068 Лермонтовский пр., д. 22-24, литера А
51 1068 Лермонтовский пр., д. 26, литера А
52 1068 Лермонтовский пр., д. 28, литера А
53 1068 Лермонтовский пр., д. 30, литера А
54 1068 пер. Макаренко, д. 11, литера А
55 1068 пер. Макаренко, д. 3, литера А
56 1068 пер. Макаренко, д. 7, литера А
57 1068 пер. Макаренко, д. 9, литера А
58 1068 Садовая ул., д. 68, литера А (часть здания)
59 1068 Садовая ул., д. 70, литера А
60 1069 Климов пер., д. 4, литера А
61 1069 Климов пер., д. 8, литера А
62 1069 Лабутина ул., д. 4/2, литера А
63 1069 Лермонтовский пр., д. 29, литера А
64 1069 Лермонтовский пр., д. 31, литера А
65 1069 Лермонтовский пр., д. 33, литера А
66 1069 Лермонтовский пр., д. 35, литера А
67 1069 наб. р. Фонтанки, д. 155, литера А (часть здания)
68 1070 Климов пер., д. 1/6, литера А
69 1070 Климов пер., д. 7, литера А
70 1070 ул. Лабутина, д. 10, литера А
71 1070 ул. Лабутина, д. 12, литера А
72 1070 ул. Лабутина, д. 8, литера А
73 1070 Прядильный пер., д. 4, литера А
74 1070 Прядильный пер., д. 8-10, литера А
75 1071 Английский пр., д. 62, литера А
76 1071 Люблинский пер., д. 4, литера А (часть здания)
77 1071 наб. р. Фонтанки, д. 165, литера А
78 1071 наб. р. Фонтанки, д. 167, литера А
79 1071 наб. р. Фонтанки, д. 171, литера А
80 1072 Английский пр., д. 56, литера А
81 1072 Английский пр., д. 58, литера А
82 1072 Английский пр., д. 60, литера А
83 1072 ул. Лабутина, д. 16, литера А
84 1072 ул. Лабутина, д. 16, литера Б
85 1072 ул. Лабутина, д. 20-22, литера А
86 1072 Люблинский пер., д. 1/3, литера А
87 1072 Люблинский пер., д. 3, литера А
88 1072 Люблинский пер., д. 7, литера Б
89 1073 Английский пр., д. 51, литера А
90 1073 Калинкин пер., д. 4, литера А
91 1073 ул. Лабутина, д. 30, литера А
92 1073 наб. р. Фонтанки, д. 179, литера А
93 1073 наб. р. Фонтанки, д. 181/6, литера А
94 1074 ул. Лабутина, д. 36, литера А (часть здания)
95 1074 Садовая ул., д. 104, литера А
96 1074 Садовая ул., д. 106, литера А
97 1074 Садовая ул., д. 108-110, литера А
98 1074 Садовая ул., д. 112-114, литера А
99 1074 Садовая ул., д. 122, литера А
100 1074 Садовая ул., д. 122, литера Б
101 1074 Садовая ул., д. 124, литера А
102 1074 Садовая ул., д. 128, литера А
103 1074 наб. р. Фонтанки, д. 187, литера А
104 1075 наб. кан. Грибоедова, д. 154, литера А
105 1075 наб. кан. Грибоедова, д. 156, литера А
106 1075 наб. кан. Грибоедова, д. 160, литера А
107 1075 наб. кан. Грибоедова, д. 162, литера А
108 1075 наб. кан. Грибоедова, д. 164, литера А
109 1075 наб. кан. Грибоедова, д. 166, литера А (часть здания)
110 1075 наб. кан. Грибоедова, д. 168, литера А
111 1075 наб. кан. Грибоедова, д. 170, литера А
112 1075 наб. кан. Грибоедова, д. 176, литера А
113 1075 Канонерская ул., д. 27, литера А
114 1075 Канонерская ул., д. 29, литера А
115 1075 Канонерская ул., д. 29, литера В
116 1075 Канонерская ул., д. 31, литера А
117 1075 Садовая ул., д. 109, литера А
118 1075 Садовая ул., д. 115, литера А
119 1075 Садовая ул., д. 117, литера А
120 1075 Садовая ул., д. 119, литера А
121 1075 Садовая ул., д. 123, литера А
122 1075 Садовая ул., д. 129, литера А
123 1076 пл. Репина, д. 3-5, литера Б (часть здания)
124 1077 Лоцманская ул., д. 20, литера А
125 1077 Псковская ул., д. 26, литера А
126 1077 Псковская ул., д. 30-32, литера А
127 1077 Псковская ул., д. 34, литера А
128 1077 Псковская ул., д. 34, литера Б, корп. 2
129 1077 Псковская ул., д. 36, литера А
130 1077 пр. Римского-Корсакова, д. 107, литера А
131 1078 Витебская ул., д. 16, литера А
132 1078 Лоцманская ул., д. 10-14, литера А
133 1078 Лоцманская ул., д. 10-14, литера В
134 1078 Лоцманская ул., д. 10-14, литера М
135 1078 Псковская ул., д. 13, литера А
136 1078 Псковская ул., д. 15, литера А
137 1078 Псковская ул., д. 19-21, литера А
138 1078 Псковская ул., д. 25, литера А
139 1079 Витебская ул., д. 19, литера А
140 1079 Витебская ул., д. 21, литера А
141 1079 Витебская ул., д. 23, литера А
142 1079 Витебская ул., д. 25, литера А
143 1079 Витебская ул., д. 27, литера А
144 1079 Витебская ул., д. 29, литера А
145 1079 Витебская ул., д. 31, литера А
146 1079 Витебская ул., д. 31, литера Б
147 1079 Лоцманская ул., д. 6, литера А
148 1079 Мясная ул., д. 3, литера А (часть здания)
149 1079 Мясная ул., д. 5, литера А
150 1079 наб. р. Пряжки, д. 56, литера А
151 1079 наб. р. Пряжки, д. 62-64, литера А
152 1079 наб. р. Пряжки, д. 66, литера А
153 1081 ул. Александра Блока, д. 10, литера Г
154 1081 ул. Александра Блока, д. 8, литера А
155 1081 Перевозная ул., д. 6, корп. 2, литера Л
156 1081 Перевозная ул., д. 6/11, литера А
157 1081 Перевозная ул., д. 8, литера А
158 1082 ул. Александра Блока, д. 6, литера А
159 1082 наб. р. Пряжки, д. 5, литера А (часть здания)
160 1083 Английский пр., д. 13, литера А
161 1083 Английский пр., д. 13, литера Б
162 1083 Английский пр., д. 15, литера А
163 1083 Английский пр., д. 17-19, литера А
164 1083 Английский пр., д. 17-19, литера Б
165 1083 Английский пр., д. 17-19, литера С
166 1083 Английский пр., д. 17-19, литера Т
167 1083 Английский пр., д. 7/2, литера А
168 1083 Английский пр., д. 7/2, литера Б
169 1083 наб. р. Пряжки, д. 18-20, литера А
170 1084 Английский пр., д. 3, литера А
171 1084 Английский пр., д. 5, литера А
172 1084 Английский пр., д. 5, литера Б
173 1084 наб. р. Мойки, д. 124, литера А
174 1085 Английский пр., д. 12, литера А
175 1085 Английский пр., д. 16, литера А
176 1085 Английский пр., д. 16, литера Б (часть здания)
177 1085 Английский пр., д. 16, литера Г
178 1085 Английский пр., д. 20, литера А
179 1085 Английский пр., д. 22, литера А
180 1085 Английский пр., д. 22, литера В
181 1085 Английский пр., д. 24, литера А
182 1085 Английский пр., д. 26, литера А
183 1085 ул. Декабристов, д. 49, литера А
184 1085 ул. Декабристов, д. 49, литера С
185 1085 ул. Декабристов, д. 51, литера А
186 1085 ул. Писарева, д. 1/118, литера А
187 1086 ул. Декабристов, д. 31, литера А
188 1086 ул. Декабристов, д. 33, литера А
189 1086 ул. Декабристов, д. 35, литера Г
190 1086 ул. Декабристов, д. 37, литера А
191 1086 ул. Декабристов, д. 39, литера А
192 1086 ул. Декабристов, д. 41, литера А
193 1086 ул. Декабристов, д. 43-45, литера А
194 1086 ул. Декабристов, д. 43-45, литера Б
195 1086 наб. р. Мойки, д. 104, литера А
196 1086 наб. р. Мойки, д. 110, литера А
197 1088 наб. Адмиралтейского кан., д. 17, литера А
198 1088 наб. Адмиралтейского кан., д. 5, литера А
199 1088 наб. Адмиралтейского кан., д. 7, литера А
200 1088 наб. Адмиралтейского кан., д. 9, литера А
201 1088 Галерная ул., д. 26, литера А
202 1088 Галерная ул., д. 28, литера А
203 1088 Галерная ул., д. 28, литера Б
204 1088 Галерная ул., д. 30, литера А
205 1088 Галерная ул., д. 32, литера А
206 1088 Галерная ул., д. 34, литера А
207 1088 Галерная ул., д. 44, литера А
208 1088 Галерная ул., д. 46, литера А (часть здания)
209 1088 Галерная ул., д. 48, литера А (часть здания)
210 1088 Галерная ул., д. 52, литера А
211 1088 Галерная ул., д. 52, литера Б
212 1088 Галерная ул., д. 54, литера А (часть здания)
213 1090 Галерная ул., д. 10, литера А
