1149 2006 Биржевая линия, д. 16, литера А (часть здания)
1150 2006 Биржевая линия, д. 8-10, литера А
1151 2006 Биржевой пер., д. 6, литера А
1152 2006 Волховский пер., д. 4, литера А (лицевой фасад)
1153 2006 Тучков пер., д. 3, литера А
1154 2006 Тучков пер., д. 5, литера А
1155 2006 Тучков пер., д. 7, литера А
1156 2008 Средний пр. В.О., д. 2, литера В
1157 2008 Средний пр. В.О., д. 4, литера Г
1158 2011 Кадетская линия В.О., д. 13-15, литера А
1159 2011 Кадетская линия В.О., д. 25, литера А
1160 2012 Кадетская линия В.О., д. 7/2, литера А
1161 2012 Кадетская линия В.О., д. 7/2, литера Б
1162 2013 1-я линия В.О., д. 8, литера Б
1163 2013 1-я линия В.О., д. 16, литера Б
1164 2013 Большой пр. В.О., д. 4/19, литера А
1165 2014 1-я линия В.О., д. 42, литера А
1166 2014 1-я линия В.О., д. 42, литера Б
1167 2015 1-я линия В.О., д. 46, литера А
1168 2015 1-я линия В.О., д. 50, литера А
1169 2015 1-я линия В.О., д. 52, литера Г
1170 2015 1-я линия В.О., д. 54, литера А
1171 2015 2-я линия В.О., д. 49, литера А
1172 2015 2-я линия В.О., д. 51, литера А
1173 2015 2-я линия В.О., д. 53, литера А
1174 2015 2-я линия В.О., д. 55, литера А
1175 2015 2-я линия В.О., д. 59/2, литера А
1176 2017 2-я линия В.О., д. 15/7, литера А
1177 2017 2-я линия В.О., д. 17, литера А
1178 2017 2-я линия В.О., д. 19, литера А
1179 2017 2-я линия В.О., д. 21, литера А
1180 2017 2-я линия В.О., д. 23, литера А (часть здания)
1181 2017 2-я линия В.О., д. 31, литера А
1182 2017 2-я линия В.О., д. 33, литера А
1183 2017 2-я линия В.О., д. 33, литера Б
1184 2017 2-я линия В.О., д. 35, литера А
1185 2017 2-я линия В.О., д. 37, литера А
1186 2017 2-я линия В.О., д. 39/16, литера А (часть здания)
1187 2017 Большой пр. В.О., д. 5, литера А
1188 2018 2-я линия В.О., д. 5, литера А
1189 2018 2-я линия В.О., д. 5, литера Б
