2115 3001 Мичуринская ул., д. 1, литера Б
2116 3003 ул. Куйбышева, д. 7, литера А
2117 3003 ул. Куйбышева, д. 9/8, литера А
2118 3003 Мичуринская ул., д. 6, литера Б (лицевой фасад на 13 осей)
2119 3008 ул. Куйбышева, д. 27, литера А
2120 3008 ул. Куйбышева, д. 29, литера А
2121 3008 ул. Куйбышева, д. 31, литера А
2122 3008 Мичуринская ул., д. 7, литера Б
2123 3008 Мичуринская ул., д. 9/11, литера А
2124 3008 Пеньковая ул., д. 8/6, литера К
2125 3009 ул. Куйбышева, д. 38-40, литера А
2126 3009 Петроградская наб., д. 16, литера А
2127 3009 Петроградская наб., д. 24, литера Б
2128 3009 ул. Чапаева, д. 11/4, литера А
2129 3010 ул. Куйбышева, д. 24, литера Б
2130 3010 ул. Куйбышева, д. 26, литера А
2131 3010 ул. Куйбышева, д. 28, литера Б
2132 3010 ул. Куйбышева, д. 28, литера Ж
2133 3010 ул. Куйбышева, д. 28, литера К
2134 3010 ул. Куйбышева, д. 30, литера А
2135 3010 М. Посадская ул., д. 13, литера Б
2136 3010 М. Посадская ул., д. 23, литера А
2137 3010 Мичуринская ул., д. 11/18, литера А
2138 3010 Мичуринская ул., д. 13, литера В
2139 3011 ул. Куйбышева, д. 12, литера А
2140 3011 ул. Куйбышева, д. 8, литера А
2141 3011 Мичуринская ул., д. 12, литера А
2142 3011 Мичуринская ул., д. 14/3, литера А
2143 3017 пр. Добролюбова, д. 2, литера А
2144 3017 Зоологический пер., д. 2-4, литера Б (лицевые фасады)
2145 3017 Мытнинская наб., д. 5, литера А (лицевые фасады)
2146 3018 Мытнинская наб., д. 11, литера А
2147 3018 Мытнинская наб., д. 13, литера А
2148 3018 Мытнинская наб., д. 7/5, литера А
2149 3018 Мытнинская наб., д. 9, литера А
2150 3020 ул. Блохина, д. 1/75, литера А
2151 3020 Кронверкский пр., д. 73/39, литера А
2152 3020 Мытнинский пер., д. 5, литера А
2153 3021 Кронверкский пр., д. 69, литера А
2154 3021 Кронверкский пр., д. 69, литера Б
2155 3023 Кронверкский пр., д. 13/2, литера А
2156 3025А М. Посадская ул., д. 12, литера В
2157 3025А М. Посадская ул., д. 14, литера А
2158 3025А М. Посадская ул., д. 20, литера А
2159 3025А Певческий пер., д. 4, литера А
2160 3026 М. Посадская ул., д. 30, литера К
2161 3028 Казарменный пер., д. 2/42, литера А
2162 3028 Петроградская наб., д. 26-28, литера А (часть здания)
2163 3028 Петроградская наб., д. 26-28, литера Ч (часть здания)
2164 3028 Петроградская наб., д. 34, литера Б (часть здания)
2165 3028 ул. Чапаева, д. 19, литера А
2166 3028 ул. Чапаева, д. 21, литера А
2167 3029 ул. Котовского, д. 1/10, литера А
2168 3029 ул. Котовского, д. 1/10, литера Б
2169 3029 ул. Котовского, д. 1/10, литера В
2170 3029 ул. Котовского, д. 3/12, литера А
2171 3029 ул. Котовского, д. 5/14, литера А
2172 3030 Б. Посадская ул., д. 18/7, литера В
2173 3030 Б. Посадская ул., д. 20, литера Б
2174 3030 Б. Посадская ул., д. 24/2, литера С (часть здания)
2175 3030 ул. Котовского, д. 4/39, литера В
2176 3030 ул. Мира, д. 29, литера Б
2177 3030 ул. Мира, д. 29, литера В
2178 3030 ул. Мира, д. 35, литера А
2179 3031 Дивенская ул., д. 9/3, литера А (часть здания)
2180 3031 М. Монетная ул., д. 3б, литера А
2181 3031 Певческий пер., д. 14, литера А
2182 3032 Б. Посадская ул., д. 4, литера А
2183 3032 Дивенская ул., д. 3, литера Е
2184 3032 Каменноостровский пр., д. 11, литера А
2185 3032 М. Монетная ул., д. 4, литера М
2186 3032 М. Посадская ул., д. 8, литера А
2187 3033 Каменноостровский пр., д. 4, литера А
2188 3033 Кронверкская ул., д. 1, литера А
2189 3033 Кронверкская ул., д. 3, литера А
2190 3033 Кронверкский пр., д. 29, литера А
2191 3033 Кронверкский пр., д. 31, литера А
2192 3033 Кронверкский пр., д. 33, литера А
2193 3033 ул. Мира, д. 5, литера Б
2194 3033 ул. Мира, д. 7, литера А
2195 3033 ул. Мира, д. 7, литера Б
2196 3033 ул. Мира, д. 7, литера В
2197 3033 ул. Мира, д. 7, литера Г
2198 3033 ул. Мира, д. 1/9, литера А
2199 3033 ул. Мира, д. 3, литера А (часть здания)
2200 3034 Кронверкская ул., д. 4, литера А
2201 3034 Сытнинская пл., д. 3, литера А
2202 3036 Кронверкский пр., д. 51, литера А
2203 3036 Кронверкский пр., д. 51, литера Б
2204 3037 Б. Пушкарская ул., д. 11, литера А
2205 3037 ул. Лизы Чайкиной, д. 10, литера А
2206 3037А Кронверкский пр., д. 61/28, литера Б
2207 3037А ул. Лизы Чайкиной, д. 26, литера Б
2208 3038 Кронверкский пр., д. 63/31, литера А
2209 3038 ул. Лизы Чайкиной, д. 19, литера А
2210 3038 ул. Лизы Чайкиной, д. 21, литера А
2211 3038 Съезжинская ул., д. 32, литера Б
2212 3038 Съезжинская ул., д. 34, литера А
2213 3038 Съезжинская ул., д. 38, литера А
2214 3039 Кронверкский пр., д. 65, литера А
2215 3040 ул. Блохина, д. 11, литера А
2216 3040 ул. Блохина, д. 5/2, литера А
2217 3040 ул. Блохина, д. 7, литера А
2218 3040 Зверинская ул., д. 29, литера А
2219 3042 пр. Добролюбова, д. 13, литера А
2220 3042 пр. Добролюбова, д. 23, литера А
2221 3042 пр. Добролюбова, д. 25, литера А
2222 3042 пр. Добролюбова, д. 27, литера А
2223 3042 пр. Добролюбова, д. 9, литера А
2224 3042 Провиантская ул., д. 8, литера А
2225 3042 ул. Яблочкова, д. 2/10, литера А
2226 3042 ул. Яблочкова, д. 12, литера А
2227 3042 ул. Яблочкова, д. 20, литера Я
2228 3042 ул. Яблочкова, д. 22/3, литера А
2229 3045 ул. Блохина, д. 10, литера А
2230 3045 ул. Блохина, д. 14, литера А
2231 3045 ул. Блохина, д. 16, литера А
2232 3045 ул. Блохина, д. 18, литера А
2233 3045 ул. Блохина, д. 8, литера А
2234 3045 пер. Талалихина, д. 5/15, литера А
2235 3045 ул. Яблочкова, д. 1, литера А
2236 3045 ул. Яблочкова, д. 3, литера А
2237 3045 ул. Яблочкова, д. 5, литера А
2238 3045 ул. Яблочкова, д. 9, литера Ю
2239 3046 Зверинская ул., д. 18, литера А
2240 3046 Зверинская ул., д. 24, литера А
2241 3046 Зверинская ул., д. 24, литера Д
2242 3046 Зверинская ул., д. 26, литера А
2243 3046 Зверинская ул., д. 28-30, литера А
2244 3046 Зверинская ул., д. 32, литера А
2245 3046 Мытнинский пер., д. 10, литера А
2246 3046 Мытнинский пер., д. 12, литера А
2247 3046 Съезжинская ул., д. 15-17, литера А
2248 3046 Съезжинская ул., д. 21, литера Б
2249 3046 Съезжинская ул., д. 23, литера А
2250 3046 Съезжинская ул., д. 25, литера А
2251 3046 Татарский пер., д. 12-14, литера А
2252 3046 Татарский пер., д. 4, литера А
2253 3047 Введенская ул., д. 12, литера А
2254 3047 Введенская ул., д. 22, литера А
2255 3047 Введенская ул., д. 6, литера А
2256 3047 Введенская ул., д. 8, литера А
2257 3047 ул. Воскова, д. 5, литера А
2258 3047 ул. Воскова, д. 7/18, литера А
2259 3047 Кронверкский пр., д. 55, литера А
2260 3047 ул. Маркина, д. 10, литера А
2261 3047 ул. Маркина, д. 14-16, литера А
2262 3047 ул. Маркина, д. 6, литера А
2263 3048 ул. Маркина, д. 7, литера А
2264 3049 ул. Воскова, д. 11, литера А
2265 3049 ул. Воскова, д. 9, литера А
2266 3050 Сытнинская ул., д. 12, литера А
2267 3050 Сытнинская ул., д. 14, литера А
2268 3050 Сытнинская ул., д. 14, литера Б
2269 3052 ул. Мира, д. 15, литера Б (часть здания)
2270 3054 Б. Монетная ул., д. 35/15, литера А
2271 3055 Б. Монетная ул., д. 25, литера А
2272 3055 ул. Мира, д. 24, литера А
2273 3055 ул. Мира, д. 32, литера Б
2274 3055 ул. Мира, д. 36, строение 1 (лицевой фасад по ул. Мира на 9 осей)
2275 3056 Б. Монетная ул., д. 17-19, литера Б
2276 3056 Б. Монетная ул., д. 19а, литера А
2277 3056 Каменноостровский пр., д. 15, литера А
2278 3056 Каменноостровский пр., д. 17, литера А
2279 3056 ул. Мира, д. 20, литера А
2280 3057 Б. Монетная ул., д. 7, литера А
2281 3057 Б. Монетная ул., д. 11, литера А (часть здания)
2282 3057 Кронверкская ул., д. 13, литера А
2283 3057 ул. Мира, д. 2/11, литера А
2284 3057 ул. Мира, д. 8, литера А
2285 3058А Кронверкская ул., д. 16, литера З
2286 3058А Матвеевский пер., д. 2в, литера А
2287 3060 ул. Воскова, д. 22, литера А
2288 3060 ул. Воскова, д. 22, литера Б
2289 3060 ул. Воскова, д. 26, литера А
2290 3061 ул. Воскова, д. 12, литера А
2291 3062 Б. Пушкарская ул., д. 5, литера А
2292 3062 ул. Лизы Чайкиной, д. 11, литера Б
2293 3062 ул. Лизы Чайкиной, д. 17, литера А
2294 3062 ул. Лизы Чайкиной, д. 9, литера А
2295 3062 Съезжинская ул., д. 12, литера А
2296 3063 ул. Блохина, д. 19, литера А
2297 3063 ул. Блохина, д. 21, литера А
2298 3063 ул. Блохина, д. 23, литера А
2299 3063 Зверинская ул., д. 13/5, литера А
2300 3063 Зверинская ул., д. 13/5, литера Г
2301 3063 пер. Нестерова, д. 3, литера А
2302 3064 ул. Блохина, д. 22, литера А
2303 3066 ул. Блохина, д. 27, литера А
2304 3066 ул. Блохина, д. 29, литера А
2305 3066 Зверинская ул., д. 1/3, литера А
2306 3066 Зверинская ул., д. 5, литера А
2307 3067 Большой пр. П.С., д. 7/4, литера А
2308 3067 Большой пр. П.С., д. 7/4, литера Б
2309 3067 Большой пр. П.С., д. 9/1, литера А (часть здания)
2310 3067 Зверинская ул., д. 12, литера А
2311 3067 Зверинская ул., д. 12, литера Б
2312 3067 Съезжинская ул., д. 9, литера А
2313 3068 ул. Воскова, д. 2, литера А
2314 3068 ул. Воскова, д. 4, литера А
2315 3068 ул. Воскова, д. 6, литера А
