3128 1018 Миллионная ул., д. 15, литера А
3129 1018 Миллионная ул., д. 15, литера Б
3130 1018 Миллионная ул., д. 21, литера А (часть здания)
3131 1022 Гагаринская ул., д. 3, литера Д
3132 1022 наб. Кутузова, д. 26, литера А (часть здания)
3133 1022 наб. Кутузова, д. 28, литера А (часть здания)
3134 1022 наб. Кутузова, д. 32, литера А (часть здания)
3135 1022 наб. Кутузова, д. 34, литера А (часть здания)
3136 1022 ул. Чайковского, д. 2/7, литера А (часть здания)
3137 1022 ул. Чайковского, д. 2/7, литера Р
3138 1023 Шпалерная ул., д. 2/4, литера А
3139 1023 Шпалерная ул., д. 4, литера А
3140 1026 Воскресенская наб., д. 24, литера А
3141 1026 Воскресенская наб., д. 28, литера Б
3142 1026 Шпалерная ул., д. 24, литера А
3143 1026 Шпалерная ул., д. 30, литера А
3144 1026 Шпалерная ул., д. 32, литера А
3145 1027 Шпалерная ул., д. 38, литера А
3146 1027 Шпалерная ул., д. 40, литера А
3147 1027 Шпалерная ул., д. 40, литера Б
3148 1027 Шпалерная ул., д. 40, литера В
3149 1027 Шпалерная ул., д. 40а, литера А
3150 1027 Шпалерная ул., д. 40а, литера Е
3151 1027 Шпалерная ул., д. 40а, литера З
3152 1027 Шпалерная ул., д. 40а, литера И
3153 1027А Шпалерная ул., д. 48, литера Б
3154 1027А Шпалерная ул., д. 50, литера А
3155 1027А Шпалерная ул., д. 54, литера В (лицевой фасад) (часть здания)
3156 1027А Шпалерная ул., д. 54/2, литера А
3157 1028 Кавалергардская ул., д. 42, литера А
3158 1028 Шпалерная ул., д. 56, литера О
3159 1028 Шпалерная ул., д. 62, литера Б
3160 1030А ул. Смольного, д. 4, литера К
3161 1031А Смольный проезд, д. 1, литера Г
3162 1032 Лафонская ул., д. 1, литера Б
3163 1032 Лафонская ул., д. 3, литера А
3164 1032 Смольный пр., д. 4а, литера А
3165 1033 ул. Красного Текстильщика, д. 10-12, литера Д
3166 1033 ул. Красного Текстильщика, д. 10-12, литера О
3167 1033 ул. Красного Текстильщика, д. 10-12, литера У
3168 1033 ул. Красного Текстильщика, д. 10-12, литера Ц
3169 1033 ул. Красного Текстильщика, д. 10-12, литера Ю
3170 1033 Синопская наб., д. 74, литера А
3171 1033 Синопская наб., д. 74, литера Б
3172 1033А ул. Бонч-Бруевича, д. 2/3, литера А
3173 1033А Смольный пр., д. 7, литера А
3174 1033А Смольный пр., д. 9, литера А
3175 1033А Смольный пр., д. 11, литера А
3176 1033А Смольный пр., д. 13, литера А
3177 1033А Смольный пр., д. 15, литера А
3178 1034 ул. Красного Текстильщика, д. 9-11, литера А
3179 1034 ул. Красного Текстильщика, д. 9-11, литера Б
3180 1034 ул. Красного Текстильщика, д. 13, литера А
3181 1034 ул. Красного Текстильщика, д. 13, литера Б
3182 1034 ул. Красного Текстильщика, д. 13, литера В
3183 1034 ул. Красного Текстильщика, д. 17, литера А
3184 1034 ул. Моисеенко, д. 22, литера Б (часть здания)
3185 1034 ул. Моисеенко, д. 24, литера А
3186 1034 ул. Моисеенко, д. 26, литера А
3187 1034 ул. Моисеенко, д. 26, литера Б
3188 1034 Новгородская ул., д. 25, литера А
3189 1034Б Дегтярный пер., д. 1/8а, литера А
3190 1034Б Дегтярный пер., д. 1/8а, литера Б
3191 1034Б Дегтярный пер., д. 7, литера А
3192 1034Б ул. Моисеенко, д. 8б, литера А
3193 1034Б ул. Моисеенко, д. 8б, литера В
3194 1034Б ул. Моисеенко, д. 10, литера А
3195 1034Б ул. Моисеенко, д. 12-14, литера А
3196 1034Б ул. Моисеенко, д. 16, литера А
3197 1035 Дегтярный пер., д. 2, литера А
3198 1035 Дегтярный пер., д. 4, литера А
3199 1035 Дегтярный пер., д. 6, литера В
3200 1035 Дегтярный пер., д. 8-10, литера А
3201 1035 Дегтярный пер., д. 12, литера А
