336 3008 ул. Куйбышева, д. 19, литера А
337 3008 ул. Куйбышева, д. 33/8, литера А (часть здания)
338 3009 Петроградская наб., д. 18, корп. 3, литера В
339 3010 ул. Куйбышева, д. 20, литера А
340 3010 ул. Куйбышева, д. 32, литера У
341 3010 М. Посадская ул., д. 19, литера Б
342 3010 М. Посадская ул., д. 21, литера А
343 3010 М. Посадская ул., д. 21, литера Б
344 3010 М. Посадская ул., д. 23, литера Б
345 3010 М. Посадская ул., д. 25/4, литера А
346 3010 ул. Чапаева, д. 2, литера Б
347 3011 ул. Куйбышева, д. 14, литера А
348 3019 ул. Блохина, д. 4, литера А
349 3019 ул. Блохина, д. 6/3, литера А
350 3020 ул. Блохина, д. 3/1, литера А
351 3021 Кронверкский пр., д. 71/46, литера А
352 3023 М. Посадская ул., д. 7/4, литера А
353 3025А М. Посадская ул., д. 16, литера А
354 3026 Б. Посадская ул., д. 9/5, литера А
355 3026 Б. Посадская ул., д. 9/5, литера Б
356 3030 ул. Мира, д. 31, литера А
357 3032 Б. Посадская ул., д. 10, литера А
358 3032 М. Посадская ул., д. 6, литера А
359 3033 Каменноостровский пр., д. 6, литера А
360 3033 Каменноостровский пр., д. 6, литера Б
361 3033 Каменноостровский пр., д. 6, литера В
362 3033 Каменноостровский пр., д. 6, литера Г
363 3033 Каменноостровский пр., д. 6, литера Д
364 3033 Каменноостровский пр., д. 6, литера Ж
365 3033 Каменноостровский пр., д. 18/11, литера А
366 3033 Кронверкский пр., д. 27, литера А
367 3033 Кронверкский пр., д. 27, литера Б
368 3033 ул. Мира, д. 9, литера А
369 3034 Кронверкский пр., д. 47, литера А
370 3034 Сытнинская пл., д. 3, литера Б
371 3037 Введенская ул., д. 5/13, литера А
372 3037 ул. Лизы Чайкиной, д. 18, литера А
373 3037А Введенская ул., д. 17, литера Б
374 3037А Кронверкский пр., д. 59, литера А
375 3038 ул. Лизы Чайкиной, д. 23, литера А
376 3038 ул. Лизы Чайкиной, д. 25, литера А
377 3039 Съезжинская ул., д. 33, литера А
378 3039 Съезжинская ул., д. 37, литера А
379 3039 Татарский пер., д. 1, литера А
380 3040 Зверинская ул., д. 21-23, литера А
381 3042 пр. Добролюбова, д. 7/2, литера А
382 3042 пр. Добролюбова, д. 7/2, литера В
383 3042 пр. Добролюбова, д. 21, литера А
384 3042 пр. Добролюбова, д. 21, литера Б
385 3045 ул. Блохина, д. 20/7, литера А
