532 1017 Миллионная ул., д. 25, литера А
533 1017 Миллионная ул., д. 29, литера А (часть здания)
534 1017 Миллионная ул., д. 33, литера А (часть здания)
535 1018 Миллионная ул., д. 9, литера А (часть здания)
536 1023 наб. Кутузова, д. 16, литера А
537 1038 ул. Некрасова, д. 56, литера А
538 1043 ул. Жуковского, д. 57, литера А
539 1043 ул. Жуковского, д. 63, литера А
540 1043 пер. Ульяны Громовой, д. 8, литера А
541 1043 пер. Ульяны Громовой, д. 8, литера Б
542 1044 ул. Восстания, д. 1, литера Б
543 1044 ул. Восстания, д. 1, литера Т
544 1044 Лиговский пр., д. 33-35, литера А
545 1044 пер. Ульяны Громовой, д. 1/13, литера А
546 1045 Лиговский пр., д. 41/83, литера А
547 1045 Лиговский пр., д. 55/4, литера А
548 1045 Невский пр., д. 81, литера А
549 1045 Пушкинская ул., д. 2/79, литера А (часть здания)
550 1045 Пушкинская ул., д. 6, литера А (часть здания)
551 1045 Пушкинская ул., д. 8, литера А (часть здания)
552 1045 Пушкинская ул., д. 10, литера Ж
553 1045 Пушкинская ул., д. 12, литера А (часть здания)
554 1046 Пушкинская ул., д. 16, литера А (часть здания)
555 1046 Пушкинская ул., д. 18, литера А (часть здания)
556 1047 Лиговский пр., д. 87, литера А
557 1047 Лиговский пр., д. 87, литера В
558 1049 Разъезжая ул., д. 36, литера А
559 1049 Свечной пер., д. 17, литера А
560 1051 ул. Достоевского, д. 13, литера А
561 1051 Разъезжая ул., д. 16-18, литера А
562 1051 Разъезжая ул., д. 20, литера А
563 1051 Свечной пер., д. 7/11, литера А
564 1053 Б. Московская ул., д. 1-3, литера А
565 1053 Б. Московская ул., д. 7, литера А
566 1053 Б. Московская ул., д. 9, литера А
567 1053 Загородный пр., д. 4, литера А
568 1053 Загородный пр., д. 10, литера А
569 1053 Загородный пр., д. 12, литера А
570 1053 Загородный пр., д. 14, литера А
571 1053 Загородный пр., д. 16, литера А
572 1054 Загородный пр., д. 5, литера В
573 1054 Загородный пр., д. 5, литера Д
574 1055 ул. Ломоносова, д. 20, литера А
575 1055 ул. Рубинштейна, д. 27, литера А (часть здания)
576 1055 ул. Рубинштейна, д. 29/28, литера А
577 1056В наб. р. Фонтанки, д. 57, литера А (часть здания)
578 1056Г Апраксин пер., д. 20, литера А
